state,city,population,murder_and_nonnegligent_manslaughter,robbery,aggravated_assault,burglary,larceny_theft,motor_vehicle_theft,year,state_original,city_original,forcible_rape,violent_crimes,property_crimes,murder_and_nonnegligent_manslaughter_per_capita,robbery_per_capita,aggravated_assault_per_capita,burglary_per_capita,larceny_theft_per_capita,motor_vehicle_theft_per_capita,forcible_rape_per_capita,violent_crimes_per_capita,property_crimes_per_capita
ALABAMA,Birmingham,212549,42,472,1223,1292,4350,816,2017,ALABAMA,Birmingham,92,1829,6458,0.20,2.22,5.75,6.08,20.47,3.84,0.43,8.61,30.38
ALABAMA,Mobile,249921,20,235,617,1507,4344,631,2017,ALABAMA,Mobile,53,925,6482,0.08,0.94,2.47,6.03,17.38,2.52,0.21,3.70,25.94
ALABAMA,Montgomery,199565,19,185,417,1031,2797,418,2017,ALABAMA,Montgomery,35,656,4246,0.10,0.93,2.09,5.17,14.02,2.09,0.18,3.29,21.28
ALASKA,Anchorage,299097,13,369,1129,1089,5180,1439,2017,ALASKA,Anchorage,196,1707,7708,0.04,1.23,3.77,3.64,17.32,4.81,0.66,5.71,25.77
ARIZONA,Chandler,265922,1,72,163,401,2298,207,2017,ARIZONA,Chandler,67,303,2906,0.00,0.27,0.61,1.51,8.64,0.78,0.25,1.14,10.93
ARIZONA,Glendale,242938,7,247,308,848,4198,608,2017,ARIZONA,Glendale,36,598,5654,0.03,1.02,1.27,3.49,17.28,2.50,0.15,2.46,23.27
ARIZONA,Mesa,478277,11,221,641,962,4069,441,2017,ARIZONA,Mesa,127,1000,5472,0.02,0.46,1.34,2.01,8.51,0.92,0.27,2.09,11.44
ARIZONA,Scottsdale,240885,2,55,89,437,2115,132,2017,ARIZONA,Scottsdale,47,193,2684,0.01,0.23,0.37,1.81,8.78,0.55,0.20,0.80,11.14
ARIZONA,Surprise,130679,1,21,30,124,1100,76,2017,ARIZONA,Surprise,5,57,1300,0.01,0.16,0.23,0.95,8.42,0.58,0.04,0.44,9.95
ARIZONA,Tempe,178654,3,120,266,502,3083,227,2017,ARIZONA,Tempe,74,463,3812,0.02,0.67,1.49,2.81,17.26,1.27,0.41,2.59,21.34
ARKANSAS,Little Rock,198800,28,257,1360,1252,5038,601,2017,ARKANSAS,Little Rock,92,1737,6891,0.14,1.29,6.84,6.30,25.34,3.02,0.46,8.74,34.66
