id,state,state_original,under_18,total_arrests,total_arrests_per_capita,violent_crimes,violent_crimes_per_capita,property_crimes,property_crimes_per_capita,murder_and_nonnegligent_manslaughter,murder_and_nonnegligent_manslaughter_per_capita,forcible_rape,forcible_rape_per_capita,robbery,robbery_per_capita,aggravated_assault,aggravated_assault_per_capita,burglary,burglary_per_capita,larceny_theft,larceny_theft_per_capita,motor_vehicle_theft,motor_vehicle_theft_per_capita,arson,arson_per_capita,other_assults,other_assults_per_capita,forgery_and_counterfeiting,forgery_and_counterfeiting_per_capita,fraud,fraud_per_capita,embezzlement,embezzlement_per_capita,stolen_property,stolen_property_per_capita,vandalism,vandalism_per_capita,weapons_posession,weapons_posession_per_capita,prostitution,prostitution_per_capita,sex_offenses,sex_offenses_per_capita,drug_abuse_violations,drug_abuse_violations_per_capita,gambling,gambling_per_capita,offenses_against_family_and_children,offenses_against_family_and_children_per_capita,dui,dui_per_capita,liquor_laws,liquor_laws_per_capita,drunkenness,drunkenness_per_capita,disorderly_conduct,disorderly_conduct_per_capita,vagrancy,vagrancy_per_capita,all_others,all_others_per_capita,suspicion,suspicion_per_capita,curfew_and_loitering,curfew_and_loitering_per_capita,runaways,runaways_per_capita,number_of_agencies,estimated_population,year
1,ALABAMA,ALABAMA4,1,156,NULL,0,NULL,95,NULL,0,NULL,0,NULL,0,NULL,0,NULL,5,NULL,90,NULL,0,NULL,0,NULL,20,NULL,0,NULL,0,NULL,0,NULL,2,NULL,0,NULL,1,NULL,0,NULL,0,NULL,27,NULL,0,NULL,0,NULL,1,NULL,1,NULL,1,NULL,2,NULL,0,NULL,6,NULL,0,NULL,0,NULL,NULL,NULL,1,82012,2011
2,ALABAMA,ALABAMA4,0,2101,25.62,15,0.18,531,6.47,0,0.00,0,0.00,11,0.13,4,0.05,17,0.21,509,6.21,5,0.06,0,0.00,234,2.85,4,0.05,9,0.11,16,0.20,20,0.24,10,0.12,20,0.24,0,0.00,0,0.00,300,3.66,0,0.00,1,0.01,287,3.50,6,0.07,193,2.35,30,0.37,0,0.00,425,5.18,0,0.00,0,0.00,NULL,0.00,0,82012,2011
3,ALASKA,ALASKA,1,3453,NULL,194,NULL,1028,NULL,1,NULL,14,NULL,43,NULL,136,NULL,109,NULL,834,NULL,62,NULL,23,NULL,365,NULL,1,NULL,19,NULL,7,NULL,1,NULL,153,NULL,29,NULL,0,NULL,41,NULL,352,NULL,0,NULL,2,NULL,57,NULL,603,NULL,11,NULL,53,NULL,5,NULL,500,NULL,0,NULL,32,NULL,NULL,NULL,32,714559,2011
4,ALASKA,ALASKA,0,39607,55.43,2006,2.81,3824,5.35,32,0.04,81,0.11,225,0.31,1668,2.33,417,0.58,3097,4.33,266,0.37,44,0.06,5309,7.43,64,0.09,245,0.34,102,0.14,28,0.04,887,1.24,401,0.56,69,0.10,356,0.50,2341,3.28,1,0.00,329,0.46,4420,6.19,2603,3.64,102,0.14,1115,1.56,7,0.01,15362,21.50,4,0.01,32,0.04,NULL,0.00,0,714559,2011
5,ARIZONA,ARIZONA,1,37596,NULL,1059,NULL,8886,NULL,17,NULL,13,NULL,262,NULL,767,NULL,1285,NULL,7194,NULL,298,NULL,109,NULL,4093,NULL,18,NULL,87,NULL,5,NULL,124,NULL,2653,NULL,265,NULL,6,NULL,294,NULL,5008,NULL,3,NULL,157,NULL,395,NULL,4606,NULL,0,NULL,2714,NULL,60,NULL,4372,NULL,0,NULL,2791,NULL,NULL,NULL,85,6128057,2011
6,ARIZONA,ARIZONA,0,285528,46.59,8589,1.40,40144,6.55,244,0.04,196,0.03,1736,0.28,6413,1.05,4615,0.75,33888,5.53,1402,0.23,239,0.04,24442,3.99,1822,0.30,2101,0.34,200,0.03,1240,0.20,11164,1.82,2400,0.39,777,0.13,1702,0.28,30886,5.04,55,0.01,2536,0.41,35496,5.79,21739,3.55,0,0.00,17374,2.84,1181,0.19,78889,12.87,0,0.00,2791,0.46,NULL,0.00,0,6128057,2011
7,ARKANSAS,ARKANSAS,1,8320,NULL,318,NULL,2374,NULL,4,NULL,25,NULL,65,NULL,224,NULL,459,NULL,1853,NULL,54,NULL,8,NULL,1177,NULL,8,NULL,21,NULL,6,NULL,77,NULL,231,NULL,107,NULL,0,NULL,27,NULL,661,NULL,5,NULL,4,NULL,82,NULL,194,NULL,136,NULL,666,NULL,0,NULL,1909,NULL,0,NULL,317,NULL,NULL,NULL,189,2163737,2011
8,ARKANSAS,ARKANSAS,0,108281,50.04,3229,1.49,12948,5.98,59,0.03,139,0.06,435,0.20,2596,1.20,2391,1.11,10213,4.72,285,0.13,59,0.03,8698,4.02,557,0.26,1952,0.90,35,0.02,693,0.32,1125,0.52,943,0.44,166,0.08,133,0.06,8783,4.06,18,0.01,119,0.06,7758,3.59,1828,0.84,7316,3.38,2681,1.24,458,0.21,48524,22.43,0,0.00,317,0.15,NULL,0.00,0,2163737,2011
9,CALIFORNIA,CALIFORNIA,1,144768,NULL,10972,NULL,33873,NULL,135,NULL,173,NULL,4170,NULL,6494,NULL,11176,NULL,20374,NULL,1828,NULL,495,NULL,15506,NULL,109,NULL,334,NULL,13,NULL,2246,NULL,8717,NULL,5978,NULL,324,NULL,1648,NULL,12408,NULL,20,NULL,8,NULL,658,NULL,3707,NULL,2944,NULL,6950,NULL,270,NULL,29643,NULL,0,NULL,8440,NULL,NULL,NULL,619,37483185,2011
10,CALIFORNIA,CALIFORNIA,0,1183470,31.57,107165,2.86,147842,3.94,1512,0.04,1757,0.05,17431,0.47,86465,2.31,52355,1.40,84090,2.24,10350,0.28,1047,0.03,82460,2.20,6224,0.17,6998,0.19,1100,0.03,17147,0.46,21921,0.58,27690,0.74,10659,0.28,11143,0.30,188188,5.02,590,0.02,244,0.01,104345,2.78,15904,0.42,99017,2.64,11246,0.30,5122,0.14,310025,8.27,0,0.00,8440,0.23,NULL,0.00,0,37483185,2011
