State,,"Total
all 
classes1","Violent
crime2","Property
crime2","Murder and
nonnegligent
manslaughter",Rape3,Robbery,"Aggravated
assault",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson,"Other
assaults","Forgery and
counterfeiting",Fraud,Embezzlement,"Stolen
property;
buying,
receiving,
possessing",Vandalism,"Weapons;
carrying,
possessing,
etc.","Prostitution and
commercialized
vice","Sex offenses
(except
rape and
prostitution)","Drug 
abuse
violations",Gambling,"Offenses
against
the family
and
children","Driving
under the
influence","Liquor
laws",Drunkenness4,"Disorderly
conduct",Vagrancy,"All other
offenses
(except
traffic)",Suspicion,"Curfew
and
loitering
law
violations","Number
of
agencies","2013
estimated 
population"
ALABAMA5  ,Under 18,175,6,102,0,0,3,3,2,99,1,0,17,0,0,0,3,0,2,0,0,16,0,0,1,11,1,8,0,8,0,0,1,"84,139"
,Total all ages,"2,119",26,684,2,2,12,10,11,670,2,1,233,7,15,17,30,6,27,4,0,325,0,1,259,16,132,21,4,312,0,0,,
ALASKA,Under 18,"2,211",138,730,8,15,13,102,38,649,33,10,262,3,9,10,8,108,22,1,22,240,0,1,29,287,11,22,0,302,0,6,31,"473,660"
,Total all ages,"29,568","1,638","4,006",22,106,222,"1,288",264,"3,461",215,66,"3,590",49,172,87,32,776,234,647,219,"1,475",0,224,"2,689","1,385",100,939,607,"10,693",0,6,,
ARIZONA,Under 18,"29,861",955,"6,755",20,32,270,633,959,"5,413",304,79,"4,014",24,83,10,91,"2,187",221,8,310,"3,917",0,200,291,"3,266",0,"1,769",10,"3,860",0,"1,890",86,"6,466,774"
,Total all ages,"279,551","9,493","42,399",253,265,"1,815","7,160","4,302","36,258","1,623",216,"26,443","1,519","2,287",201,"1,257","11,283","2,637",743,"1,688","30,962",1,"2,247","31,662","17,822",0,"15,533",481,"79,003",0,"1,890",,
ARKANSAS,Under 18,"9,197",302,"2,516",4,34,78,186,473,"1,981",54,8,"1,458",8,28,1,86,253,124,4,52,830,0,1,67,333,95,864,0,"1,932",0,243,230,"2,746,564"
,Total all ages,"138,054","4,013","16,631",95,211,650,"3,057","2,762","13,443",369,57,"11,022",804,"1,584",27,"1,022","1,308",997,198,192,"11,391",39,314,"7,811","2,355","8,628","3,292",565,"65,618",0,243,,
CALIFORNIA ,Under 18,"94,067","8,170","21,758",108,116,"3,103","4,843","7,559","12,323","1,505",371,"11,218",80,241,8,"1,806","4,959","4,211",205,"1,356","9,284",10,4,598,"2,267","1,699","4,078",175,"18,057",0,"3,883",685,"38,284,824"
,Total all ages,"1,212,801","101,342","139,624","1,425","1,600","15,930","82,387","50,390","74,234","13,909","1,091","77,525","5,598","6,722","1,053","19,613","17,445","25,676","10,260","10,286","217,520",389,266,"161,055","14,029","90,812","7,205","7,193","295,305",0,"3,883",,
COLORADO,Under 18,"26,158",539,"5,673",7,39,132,361,456,"4,853",276,88,"1,634",10,82,1,56,"1,136",303,13,191,"3,056",0,64,290,"2,159",48,"2,305",0,"7,362",0,"1,236",203,"5,107,902"
,Total all ages,"230,910","5,691","28,833",120,333,"1,000","4,238","2,425","24,873","1,340",195,"15,461",648,"1,758",89,646,"5,141","1,841",314,687,"12,370",3,"3,183","28,723","13,377",238,"10,359",367,"99,945",0,"1,236",,
CONNECTICUT,Under 18,"8,960",457,"1,959",4,28,205,220,262,"1,353",164,180,"2,230",8,40,6,40,375,161,0,94,724,1,28,44,86,0,"1,484",0,"1,212",0,11,99,"3,410,076"
,Total all ages,"95,685","3,562","15,338",48,178,"1,117","2,219","2,065","12,300",574,399,"16,691",574,"1,018",185,318,"1,936","1,030",221,427,"9,137",14,"1,284","8,207",377,6,"10,032",16,"25,301",0,11,,
DELAWARE,Under 18,"4,113",340,910,0,15,113,212,140,740,20,10,"1,076",2,54,0,52,175,77,0,40,486,0,2,1,160,9,301,0,376,0,52,46,"923,312"
,Total all ages,"37,321","2,175","7,407",9,64,511,"1,591",991,"6,295",93,28,"7,224",386,"1,795",196,394,907,332,100,188,"6,250",3,267,325,"1,336",530,"1,782",571,"5,101",0,52,,
DISTRICT OF COLUMBIA6,Under 18,369,36,40,0,0,27,9,0,39,1,0,53,0,0,0,3,10,26,0,0,20,0,0,0,5,0,20,0,155,0,1,1,
,Total all ages,"6,154",108,99,0,0,77,31,0,94,5,0,235,10,2,1,8,28,67,3,0,323,0,0,10,860,66,57,33,"4,243",0,1,,
"FLORIDA5, 7",Under 18,"72,304","4,663","20,479",38,295,"1,674","2,656","5,750","13,374","1,284",71,"10,973",42,433,13,175,"1,363",808,28,184,"7,994",5,0,230,"1,061",0,0,0,"23,853",0,0,614,"19,487,611"
,Total all ages,"904,135","40,567","122,990",662,"1,842","7,940","30,123","22,822","94,392","5,452",324,"82,557","2,527","13,988",950,"2,794","6,680","5,088","3,755","2,663","126,137",303,0,"41,994","25,229",0,0,0,"425,913",0,0,,
GEORGIA,Under 18,"32,285","1,510","8,661",91,50,585,784,"1,828","6,361",419,53,"4,636",69,241,8,441,571,613,25,461,"2,986",5,163,162,800,48,"3,771",63,"6,371",5,675,387,"8,998,583"
,Total all ages,"323,435","12,146","49,993",455,346,"2,714","8,631","7,258","40,956","1,579",200,"31,366","3,790","5,334",518,"3,355","3,667","3,392","1,176","3,564","44,539",211,"3,634","25,912","7,649","2,657","23,724","1,133","94,916",84,675,,
HAWAII,Under 18,740,25,117,0,5,7,13,18,83,13,3,37,0,1,0,0,10,6,0,5,157,0,0,8,28,0,11,0,147,0,188,1,"159,652"
,Total all ages,"9,556",300,"1,350",1,19,57,223,225,972,144,9,569,10,5,0,0,80,112,6,40,"1,087",70,11,998,133,0,139,0,"4,458",0,188,,
IDAHO,Under 18,"8,633",153,"1,819",0,16,13,124,253,"1,454",76,36,821,6,22,2,33,325,119,1,74,911,0,8,89,760,112,298,0,"2,742",0,338,107,"1,606,277"
,Total all ages,"61,668","1,519","6,690",19,86,107,"1,307","1,026","5,422",182,60,"5,200",169,373,52,250,981,437,14,266,"7,591",32,733,"8,109","3,158",511,"2,006",9,"23,230",0,338,,
ILLINOIS8,Under 18,"20,391","2,073","3,825",40,0,"1,117",916,637,"2,298",880,10,"2,939",3,11,0,14,822,770,8,42,"3,984",369,6,13,133,0,"2,727",0,"2,490",0,162,2,"2,870,763"
,Total all ages,"120,760","6,076","16,792",363,9,"2,541","3,163","1,932","12,315","2,487",58,"17,566",188,202,1,72,"3,096","3,438","1,424",562,"35,001","2,019",311,"3,868",614,0,"11,639",44,"17,685",0,162,,
INDIANA,Under 18,"15,960",806,"4,251",11,31,213,551,529,"3,390",287,45,"3,016",11,49,4,114,606,201,6,188,"1,100",0,70,68,"1,434",107,"1,124",18,"2,347",123,317,138,"3,817,113"
,Total all ages,"129,146","6,138","21,723",158,167,"1,059","4,754","2,523","18,047","1,042",111,"13,541",755,"1,047",145,710,"1,464","1,437",725,"1,057","12,470",74,936,"12,295","7,230","7,454","4,278",121,"35,090",139,317,,
IOWA,Under 18,"12,888",488,"3,820",2,27,85,374,470,"3,132",148,70,"1,692",14,35,9,37,720,143,2,68,982,0,3,97,966,162,"1,478",0,"1,766",0,406,198,"2,780,814"
,Total all ages,"101,402","4,055","15,466",32,102,348,"3,573","1,790","13,079",457,140,"8,602",566,724,72,244,"2,069",711,113,224,"9,182",4,"1,279","9,825","5,181","11,256","5,515",38,"25,870",0,406,,
KANSAS,Under 18,"5,784",186,"1,368",3,26,19,138,138,"1,156",57,17,932,4,21,19,38,319,47,4,63,815,0,10,83,627,4,252,0,992,0,0,238,"2,068,879"
,Total all ages,"78,182","2,145","7,209",63,130,206,"1,746",867,"5,904",383,55,"10,665",370,940,202,380,"2,002",594,245,246,"8,130",3,250,"9,730","4,660",355,"2,337",0,"27,719",0,0,,
